#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-10-06T20:40:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ615e09a3390500 
#INFO -out.max=unlimited 
#INFO queryParameters=12 
#-oc.form=sexa
#-out.max=unlimited
#
#
#-order=I
#-out=Teff
#-out=loggg
#-out=[Fe/H]
#-out=vmic
#-out=logeps
#-out=Line
#-out=Delta
#
#
#RESOURCE=
#Name: J/A+A/630/A104
#Title: A Grid of NLTE Corrections for Sulphur Lines in Atmospheres of Cool Stars for the Gaia-ESO Survey (Korotin+, 2017)
#Table 
#Name:
#Title:
#---Details of Columns:
#    Teff (K)        (I4)    Effective temperature [ucd=phys.temperature.effective]
#    loggg ([cm/s2]) (F5.2)  Logarithm of surface gravity [ucd=phys.gravity]
#    [Fe/H] ([-])    (F5.2)  Iron abundance relative to the Sun [ucd=phys.abund.Fe]
#    vmic (km/s)     (F5.2)  1D microturbulence parameter [ucd=phys.veloc.microTurb]
#    logeps ([-])    (F6.3)  Absolute abundance [ucd=phys.abund]
#    Line            (A8)    OI line label (1) [ucd=meta.id;spect.line]
#    Delta           (F8.3)  3D non-LTE versus 1D LTE correction [ucd=arith.factor]
#---- ----- ----- ----- ------ -------- --------
#     loggg [F    v                             
#Teff ([cm  e/H]  mic ( logeps                  
#(K)  /s2]) ([-]) km/s) ([-])  Line     Delta   
#GRID ONLY COMPUTED FOR LOGG=4. THE OTHERS ARE SO IT WORKS WITH MY CURRENT PROGRAM
6500  4.00  0.00  1.00   7.42  8694.71 -0.093
7000  4.00  0.00  1.00   7.42  8694.71 -0.110
4500  4.00  0.00  1.00   7.12  8694.71 -0.020
5000  4.00  0.00  1.00   7.12  8694.71 -0.019
5500  4.00  0.00  1.00   7.12  8694.71 -0.025
6000  4.00  0.00  1.00   7.12  8694.71 -0.048
6500  4.00  0.00  1.00   7.12  8694.71 -0.075
7000  4.00  0.00  1.00   7.12  8694.71 -0.093
4500  4.00 -1.00  1.00   7.42  8694.71 -0.000
5000  4.00 -1.00  1.00   7.42  8694.71 -0.010
5500  4.00 -1.00  1.00   7.42  8694.71 -0.034
6000  4.00 -1.00  1.00   7.42  8694.71 -0.072
6500  4.00 -1.00  1.00   7.42  8694.71 -0.060
7000  4.00 -1.00  1.00   7.42  8694.71 -0.083
4500  4.00 -1.00  1.00   7.12  8694.71 -0.000
5000  4.00 -1.00  1.00   7.12  8694.71 -0.010
5500  4.00 -1.00  1.00   7.12  8694.71 -0.034
6000  4.00 -1.00  1.00   7.12  8694.71 -0.083
6500  4.00 -1.00  1.00   7.12  8694.71 -0.096
7000  4.00 -1.00  1.00   7.12  8694.71 -0.083
4000  4.00  0.00  1.00   7.42  9212.86 -0.033
4500  4.00  0.00  1.00   7.42  9212.86 -0.064
5000  4.00  0.00  1.00   7.42  9212.86 -0.123
5500  4.00  0.00  1.00   7.42  9212.86 -0.182
6000  4.00  0.00  1.00   7.42  9212.86 -0.236
6500  4.00  0.00  1.00   7.42  9212.86 -0.301
7000  4.00  0.00  1.00   7.42  9212.86 -0.354
4000  4.00  0.00  1.00   7.12  9212.86 -0.025
4500  4.00  0.00  1.00   7.12  9212.86 -0.051
5000  4.00  0.00  1.00   7.12  9212.86 -0.113
5500  4.00  0.00  1.00   7.12  9212.86 -0.190
6000  4.00  0.00  1.00   7.12  9212.86 -0.262
6500  4.00  0.00  1.00   7.12  9212.86 -0.338
7000  4.00  0.00  1.00   7.12  9212.86 -0.390
4000  4.00 -1.00  1.00   7.42  9212.86 -0.033
4500  4.00 -1.00  1.00   7.42  9212.86 -0.030
5000  4.00 -1.00  1.00   7.42  9212.86 -0.080
5500  4.00 -1.00  1.00   7.42  9212.86 -0.192
6000  4.00 -1.00  1.00   7.42  9212.86 -0.392
6500  4.00 -1.00  1.00   7.42  9212.86 -0.508
7000  4.00 -1.00  1.00   7.42  9212.86 -0.518
4000  4.00 -1.00  1.00   7.12  9212.86 -0.030
4500  4.00 -1.00  1.00   7.12  9212.86 -0.030
5000  4.00 -1.00  1.00   7.12  9212.86 -0.069
5500  4.00 -1.00  1.00   7.12  9212.86 -0.174
6000  4.00 -1.00  1.00   7.12  9212.86 -0.361
6500  4.00 -1.00  1.00   7.12  9212.86 -0.451
7000  4.00 -1.00  1.00   7.12  9212.86 -0.446
4500  5.50  0.00  1.00   7.42  6757.15  0.000
5000  5.50  0.00  1.00   7.42  6757.15  0.000
5500  5.50  0.00  1.00   7.42  6757.15  0.000
6000  5.50  0.00  1.00   7.42  6757.15  0.000
6500  5.50  0.00  1.00   7.42  6757.15  0.000
7000  5.50  0.00  1.00   7.42  6757.15  0.000
4500  5.50  0.00  1.00   7.12  6757.15  0.000
5000  5.50  0.00  1.00   7.12  6757.15  0.000
5500  5.50  0.00  1.00   7.12  6757.15  0.000
6000  5.50  0.00  1.00   7.12  6757.15  0.000
6500  5.50  0.00  1.00   7.12  6757.15  0.000
7000  5.50  0.00  1.00   7.12  6757.15  0.000
4500  5.50 -1.00  1.00   7.42  6757.15  0.000
5000  5.50 -1.00  1.00   7.42  6757.15  0.000
5500  5.50 -1.00  1.00   7.42  6757.15  0.000
6000  5.50 -1.00  1.00   7.42  6757.15  0.000
6500  5.50 -1.00  1.00   7.42  6757.15  0.000
7000  5.50 -1.00  1.00   7.42  6757.15  0.000
4500  5.50 -1.00  1.00   7.12  6757.15  0.000
5000  5.50 -1.00  1.00   7.12  6757.15  0.000
5500  5.50 -1.00  1.00   7.12  6757.15  0.000
6000  5.50 -1.00  1.00   7.12  6757.15  0.000
6500  5.50 -1.00  1.00   7.12  6757.15  0.000
7000  5.50 -1.00  1.00   7.12  6757.15  0.000
4500  5.50  0.00  1.00   7.42  8694.71  0.000
5000  5.50  0.00  1.00   7.42  8694.71  0.000
5500  5.50  0.00  1.00   7.42  8694.71  0.000
6000  5.50  0.00  1.00   7.42  8694.71  0.000
6500  5.50  0.00  1.00   7.42  8694.71  0.000
7000  5.50  0.00  1.00   7.42  8694.71  0.000
4500  5.50  0.00  1.00   7.12  8694.71  0.000
5000  5.50  0.00  1.00   7.12  8694.71  0.000
5500  5.50  0.00  1.00   7.12  8694.71  0.000
6000  5.50  0.00  1.00   7.12  8694.71  0.000
6500  5.50  0.00  1.00   7.12  8694.71  0.000
7000  5.50  0.00  1.00   7.12  8694.71  0.000
4500  5.50 -1.00  1.00   7.42  8694.71  0.000
5000  5.50 -1.00  1.00   7.42  8694.71  0.000
5500  5.50 -1.00  1.00   7.42  8694.71  0.000
6000  5.50 -1.00  1.00   7.42  8694.71  0.000
6500  5.50 -1.00  1.00   7.42  8694.71  0.000
7000  5.50 -1.00  1.00   7.42  8694.71  0.000
4500  5.50 -1.00  1.00   7.12  8694.71  0.000
5000  5.50 -1.00  1.00   7.12  8694.71  0.000
5500  5.50 -1.00  1.00   7.12  8694.71  0.000
6000  5.50 -1.00  1.00   7.12  8694.71  0.000
6500  5.50 -1.00  1.00   7.12  8694.71  0.000
7000  5.50 -1.00  1.00   7.12  8694.71  0.000
4000  5.50  0.00  1.00   7.42  9212.86  0.000
4500  5.50  0.00  1.00   7.42  9212.86  0.000
5000  5.50  0.00  1.00   7.42  9212.86  0.000
5500  5.50  0.00  1.00   7.42  9212.86  0.000
6000  5.50  0.00  1.00   7.42  9212.86  0.000
6500  5.50  0.00  1.00   7.42  9212.86  0.000
7000  5.50  0.00  1.00   7.42  9212.86  0.000
4000  5.50  0.00  1.00   7.12  9212.86  0.000
4500  5.50  0.00  1.00   7.12  9212.86  0.000
5000  5.50  0.00  1.00   7.12  9212.86  0.000
5500  5.50  0.00  1.00   7.12  9212.86  0.000
6000  5.50  0.00  1.00   7.12  9212.86  0.000
6500  5.50  0.00  1.00   7.12  9212.86  0.000
7000  5.50  0.00  1.00   7.12  9212.86  0.000
4000  5.50 -1.00  1.00   7.42  9212.86  0.000
4500  5.50 -1.00  1.00   7.42  9212.86  0.000
5000  5.50 -1.00  1.00   7.42  9212.86  0.000
5500  5.50 -1.00  1.00   7.42  9212.86  0.000
6000  5.50 -1.00  1.00   7.42  9212.86  0.000
6500  5.50 -1.00  1.00   7.42  9212.86  0.000
7000  5.50 -1.00  1.00   7.42  9212.86  0.000
4000  5.50 -1.00  1.00   7.12  9212.86  0.000
4500  5.50 -1.00  1.00   7.12  9212.86  0.000
5000  5.50 -1.00  1.00   7.12  9212.86  0.000
5500  5.50 -1.00  1.00   7.12  9212.86  0.000
6000  5.50 -1.00  1.00   7.12  9212.86  0.000
6500  5.50 -1.00  1.00   7.12  9212.86  0.000
7000  5.50 -1.00  1.00   7.12  9212.86  0.000
